Intent,Input,Random sort
Others,"Hi there, I'm feeling too sick to attend school, especially with a doctor's visit.",0.205529051
Others,The Apple Pencil isn't doing what it's supposed to do.,0.791948854
Others,The entire iPad screen is unresponsive to touch.,0.599115711
Non MC,"My house was broken into last night, and I need to deal with the police and insurance, so I won't be in today.",0.627249193
MC,I require a 49-day MC due to a severe skeletal system disorder.,0.258567814
Others,Unable to enroll in classes or access assignments through Schoolwork.,0.825598165
MC,I have to get a 31-day MC due to recovery from a major surgical procedure.,0.474370789
Others,My mousepad isnt working,0.916775217
Others,Firewall or security software on the iPad blocking internet access.,0.519349662
Others,Multiple applications freezing simultaneously.,0.991329395
Others,I'm facing difficulties with my Apple Pencil.,0.958904436
MC,"I must garner a 12-day MC as I’m grappling with pharyngitis, with my throat feeling like a battlefield, raw and inflamed.",0.694901912
MC,I need a 13-day MC due to recovery from a dental surgery.,0.260187067
Others,Gestures like two-finger scrolling not working on the touchpad.,0.254171242
Non MC,"My dog is lost, and I'm searching for them, so I can't come to work today.",0.575717357
MC,I require a 3-day MC due to a persistent cough and cold.,0.306588425
Others,The Apple Pencil is failing to respond.,0.389889061
Others,"Hello, I think I'm coming down with something.",0.652854615
MC,"I need a 10-day MC as I’m besieged by a persistent and hacking cough indicative of acute bronchitis, necessitating rest and medication.",0.61703164
MC,"I must obtain a 9-day MC due to an acute otitis media episode, with pain radiating through my auditory canal, impairing my hearing temporarily.",0.943615451
Others,"Hi, I won't be able to make it to school due to a conflicting medical appointment.",0.828501998
Non MC,"I'm stuck in a long line at the DMV, and I won't be able to make it to work on time.",0.649298267
MC,I need a 6-day MC because of a severe allergic reaction.,0.925049678
Others,Laptop screen freezing while browsing the internet.,0.131633943
Others,Difficulty in turning the Bluetooth mouse on or off.,0.939665533
Others,OneDrive constantly syncing without progress.,0.12784793
Others,Sound is echoing or reverberating from the laptop speakers.,0.57622638
Others,Audio balance shifting to one side randomly while in use.,0.246888321
MC,I'd like to request a 3-day medical certificate starting today.,0.708343645
MC,I'd like to apply for a 3-day MC today.,0.798652861
Others,"Hey, I'll be seeing the doctor while school is in session.",0.430270727
Others,"OneDrive error code (e.g., error code 0x8004de40).",0.193850276
Non MC,"My child's daycare center is closed unexpectedly, and I need to care for them, so I won't be at work.",0.15249664
MC,I have to get a 41-day MC due to a chronic sensory system disorder.,0.987200948
Others,"Hey, I have a medical check-up scheduled today.",0.178904252
MC,"I’m necessitated to secure an 8-day MC as I undergo a minor, yet essential, surgical intervention to address a burgeoning cyst.",0.057811416
Others,iPad screen is frozen after a drop or physical impact.,0.428578049
Non MC,"My neighbor's house is on fire, and I'm assisting them until the firefighters arrive, so I can't come to work.",0.793418653
Others,"Hello, I'm feeling too ill to attend school.",0.691189939
MC,I'd like to go on a 3-day medical leave starting today.,0.670389801
Others,"Hello, I'm feeling too under the weather for school.",0.779601715
Non MC,"I had a severe allergic reaction to a bug bite, and I need medical attention, so I won't be in today.",0.05768823
Others,The iPad screen is frozen and won't respond to any gestures.,0.191379536
Others,"The touchscreen is unresponsive, but physical buttons work.",0.296190559
Others,"Hello, I have a doctor's appointment.",0.885700599
Others,"Hi, I'll be seeking medical advice instead of attending school.",0.270723944
MC,I have to get a 46-day MC because of recovery from a major organ transplant.,0.691970225
Others,Unexpectedly high data usage on the iPad.,0.845428225
Others,My Apple Pencil seems to be broken.,0.295393139
Others,Laptop keyboard not working on a specific brand or model of laptop.,0.45338079
Others,Issues with mouse buttons not responding via Bluetooth.,0.941820307
Others,"Hi, I need to take a day off from school because of a doctor's appointment.",0.321676044
Others,"Connected to Wi-Fi, but web pages won't load on the laptop.",0.222016433
Others,The iPad screen is frozen while using a specific app.,0.299754996
Others,Mouse constantly disconnecting and reconnecting via Bluetooth.,0.185661015
Others,"Hello, I'm feeling sick and won't be in today.",0.287189711
Others,Cursor moving erratically or jumping around on the screen.,0.456858098
Others,"Hello, I'll be resting at home instead of going to school because of a medical appointment.",0.019157527
Others,Sound issues persisting after reinstalling audio drivers.,0.84454588
Others,Laptop keyboard keys producing unusual noises.,0.484737409
Others,Incorrect date and time settings impacting internet access on the laptop.,0.818139691
Others,Cellular data not working on the laptop despite having a data plan.,0.873201599
Non MC,"Unfortunately, I won't be able to come in today because my car broke down, and I'm stranded.",0.435862168
Others,"Hi there, I won't be at school today because I'll be visiting the doctor.",0.193499735
Others,"Hello, I have to skip school today for a doctor's visit.",0.896875228
MC,"I want to request a medical certificate for three days, effective today.",0.741614605
Others,My iPad is lagging,0.870521732
Others,"Hey, I'm going to see the doctor about my condition.",0.523831604
Others,"The screen showing a ""Connect to iTunes"" logo.",0.419804281
Others,"Hey, I have a medical check-up scheduled, which means I won't be in school today.",0.237606197
MC,"I’m compelled to obtain a 29-day MC due to multiple sclerosis, with my nervous system sending mixed signals, affecting my motor functions.",0.361707723
Others,OneDrive not recognizing external drives.,0.830158996
Others,"Hey, I'll be seeing the doctor during school time.",0.775232663
Others,"Hi there, I have a doctor's appointment.",0.833055242
MC,I need a 40-day MC because of a severe lymphatic system disorder.,0.975302582
Others,The laptop keyboard is not working on a specific user account.,0.168965977
Others,The iPad screen is stuck on a specific app or page.,0.816635581
Others,The screen is unresponsive to multitouch gestures.,0.488063783
Others,VPN connection problems preventing internet access on the iPad.,0.116534288
Others,OneDrive files showing as placeholders.,0.8250858
MC,I have to get a 21-day MC due to a severe kidney infection.,0.254208053
Others,Google Classroom app not syncing with your Google account.,0.233081085
Others,"Hello, I'll be at the doctor's office rather than attending school.",0.17820348
MC,"I twisted my ankle while walking my dog this morning, and I can't come to work.",0.433543189
Others,Files stuck in the OneDrive Recycle Bin.,0.214708487
Others,"Hi, I have a medical check-up scheduled.",0.182008606
Others,I'm having issues with my Apple Pencil.,0.01381545
MC,Can I be granted a medical certificate for today and the next two days?,0.807800271
Others,"Hi, I have a doctor's appointment that prevents me from attending school today.",0.091896979
Others,The Apple Pencil is not behaving as expected.,0.342814576
Others,"Hi, I have a medical issue to address, so I won't be at school today.",0.130229515
Others,"Hi, I need to take a day off from school.",0.112683409
Others,"Hey, I'll be seeing the doctor while school is in session.",0.146850165
Others,"Hi, I'll be visiting the doctor.",0.664872286
Others,"Hi, I won't be able to make it to school today due to a conflicting medical appointment.",0.451194306
Others,My Apple Pencil is unresponsive.,0.847323549
Others,Accidentally turned on Airplane Mode on the laptop.,0.247670189
Others,"Hey, I have to stay home from school.",0.9263686
MC,"Can I get a medical certificate for the next three days, starting today?",0.211025111
Others,"Hey, I'm feeling too ill to go to school, and I have a doctor's appointment.",0.581283096
Others,Accidental activation of Airplane Mode on the iPad.,0.928617048
MC,I need a 47-day MC due to a severe integumentary system disorder.,0.205163702
Others,The touchpad not working after resuming from hibernation.,0.111577777
Others,Horizontal or vertical lines on the screen.,0.40542909
Others,The touchpad not working on a specific user account.,0.88400533
Others,MAC address filtering on the router blocking the laptop's connection.,0.810673305
MC,"I woke up with a severe migraine, and I can't function properly, so I won't be at work.",0.660670109
Others,"Hi, I have a medical issue to address, so I won't be at school today.",0.417425216
Others,An unexplained blue tint on the screen.,0.139435124
Others,iPad screen is stuck on the notification center or control center.,0.861043051
Others,Touchpad settings not accessible in Windows settings.,0.217983004
MC,I need to take medical leave for three days starting today.,0.593232137
Others,Sound cutting in and out intermittently.,0.007182768
Others,"Hi, I'll be seeing the doctor, so I can't make it to school.",0.131986789
Others,The Apple Pencil isn't functioning properly.,0.429038193
Non MC,"I accidentally locked my keys inside my house, and I'm waiting for a locksmith, so I won't be in today.",0.495949347
Others,"Hi there, I have a doctor's appointment during school time.",0.31234854
Others,Sync errors with specific files or file types.,0.917879561
Others,"Hello, I need to take a sick day.",0.985944201
Others,"Connected to Wi-Fi, but apps won't update on the iPad.",0.899423881
MC,I need a 42-day MC because of recovery from a cardiovascular surgery.,0.723495469
Others,Bluetooth mouse not working during system startup.,0.53424185
Others,Screen freeze during a software update or installation.,0.772488209
Others,OneDrive not working on a specific network.,0.98938316
Others,My Apple pencil is not working,0.005921534
Others,Difficulty in re-pairing the mouse after it's been disconnected.,0.179073349
Others,Bluetooth mouse not recognized by the computer at all.,0.742712973
Others,Laptop speakers not working after plugging in headphones.,0.297431656
Non MC,"My partner had a car accident, and I need to be with them at the hospital, so I can't come to work.",0.214228167
Others,Trouble with accessing and switching between communication modes in Proloquo2Go.,0.649154612
Others,iPad screen is stuck on a black screen.,0.185700573
Non MC,"My childcare provider unexpectedly closed for the day, and I have to stay home with my kids.",0.665480224
Others,Laptop speakers producing static or white noise.,0.662148041
Others,Touchpad not working after a battery or power-related issue.,0.602281629
Others,Screen flickering uncontrollably.,0.553001182
Others,"Hi, I'm feeling too unwell for school and have a doctor's appointment.",0.255385934
Others,"Hello, I'll be at the doctor's office during school hours.",0.184866365
Non MC,"My home security alarm went off, and I need to wait for the technician, so I won't be in today.",0.473321296
Others,Laptop becoming unresponsive during a gaming session.,0.816658557
Others,Keyboard drivers not installed or outdated.,0.619710073
Others,Screen freezing or becoming unresponsive intermittently.,0.622543118
Others,Sound quality deteriorating after a recent software update.,0.493855408
Others,"Encounter ""Authentication Required"" error when connecting to public Wi-Fi networks on the iPad.",0.026407749
MC,I need a 27-day MC due to a chronic digestive disorder.,0.550192261
Non MC,"I received some distressing news, and I'm too upset to be productive at work today.",0.152577371
Others,OneDrive not working on mobile devices.,0.684036998
Others,OneDrive not showing recent changes.,0.551111906
MC,I must get a 12-day MC because of a severe throat infection.,0.602789748
Others,"Hello, I'll be resting at home instead of going to school because of a medical appointment.",0.138173767
Others,"Hi, I need to see a healthcare professional, so I can't come to school.",0.25983298
Others,Forgot the Wi-Fi network password on the iPad.,0.415631951
Non MC,"There's been a water leak in my apartment, and I have to be there for the repairs, so I can't come to work.",0.578084793
Others,"Hey, I won't be able to make it to work today due to illness.",0.39368608
Non MC,I regret to inform you that I won't be able to make it to work today due to unexpected family matters.,0.117222485
Others,Laptop screen displaying a static image with no updates.,0.579780414
MC,I'm requesting a 3-day MC starting today.,0.113506029
Others,"Hello, I'll be at the doctor's office during school hours.",0.786789065
Others,Slow response time when interacting with the screen.,0.894635761
Others,Sound disappearing when unplugging headphones from the laptop.,0.465949234
Others,Mouse battery status not displayed accurately over Bluetooth.,0.571271483
MC,I’m compelled to get a 5-day MC due to an unfortunate misstep leading to a severely twisted ankle accompanied by swelling and bruising.,0.644498211
MC,I need a 35-day MC due to a severe musculoskeletal disorder.,0.830507451
Others,"Hi, I'll be seeking medical advice during school hours.",0.567871394
Others,My Apple Pencil is out of order.,0.205950441
Others,Laptop speakers not working in certain applications or games.,0.457539791
Others,No sound coming from the laptop speakers.,0.906217444
Others,"Hey, I'm feeling too ill to go to school, and I have a doctor's appointment.",0.570917029
Non MC,"I have a court summons that I can't reschedule, so I won't be at work today.",0.817033781
MC,I need a 25-day MC due to recovery from a hernia operation.,0.372239539
Non MC,"I have a personal crisis that requires my immediate attention, so I won't be at work today.",0.229238697
Others,Bluetooth mouse not working in a specific application or program.,0.6051815
Non MC,"I got locked out of my car, and I'm waiting for a locksmith, so I won't be able to come to work on time.",0.093147315
MC,"I must secure a 27-day MC due to irritable bowel syndrome flare-up, with my digestive tract in a state of rebellion and discomfort.",0.451414724
Others,"Hi there, I think I caught a bug.",0.366721793
Others,Laptop keyboard not working in safe mode.,0.071975427
Non MC,"I had a flat tire on my way to work, and I'm waiting for roadside assistance, so I won't be in on time.",0.174503261
Others,Cellular data settings on the iPad need to be configured correctly.,0.830176982
Others,"Touchscreen gestures work, but there's no response from the apps.",0.676952809
Others,"Connected to Wi-Fi, but apps won't update on the laptop.",0.554079595
Others,Difficulty in accessing class materials or documents within Schoolwork.,0.912833821
MC,"I must garner an 18-day MC as I convalesce from a leg fracture, with my limb ensconced in plaster, limiting my movements.",0.715396742
Others,DNS server issues affecting browsing on the iPad.,0.498879919
Others,Difficulty in finding the mouse in the Bluetooth device list.,0.261427538
Others,I'm encountering problems with my Apple Pencil.,0.304052603
Others,Mouse cursor not responding to movements despite being paired.,0.931731927
Others,Unable to upload files to OneDrive.,0.741377666
Others,"Hi, I'll be absent from school due to a doctor's appointment on my schedule.",0.179783769
Non MC,"My childcare arrangements fell through, and I have to stay home with my kids, so I won't be at work.",0.531609282
Non MC,"My car was stolen, and I need to report it to the police, so I won't be in today.",0.853403513
MC,I need a 30-day MC because of a severe autoimmune disease.,0.031735586
Others,OneDrive folder not appearing in File Explorer.,0.616044958
Others,Router or modem malfunction affecting only the laptop's connectivity.,0.19781946
Non MC,"My elderly parent had a medical emergency, and I need to be at the hospital with them, so I can't come to work.",0.357548397
Others,Interference from nearby devices affecting the iPad's Wi-Fi connectivity.,0.762558326
Others,Cellular data not working on the iPad despite having a data plan.,0.915581582
Non MC,"My refrigerator broke down, and I need to salvage the food, so I won't be at work.",0.082547151
Others,"Screen displaying a blank, white screen.",0.436765717
Others,Unexpectedly high data usage on the laptop.,0.635968974
Others,Half of the screen not displaying anything.,0.953035803
Others,Schoolwork app not available or not supported on your iPad.,0.597726191
Others,Mousepad not responding to touch or gestures.,0.725379589
Others,The touchpad not working with certain third-party software.,0.610493507
MC,I must obtain a 48-day MC because of a chronic nervous system disorder.,0.638598655
Others,Laptop keyboard not working after a malware or virus infection.,0.227838447
Others,Laptop not recognizing Wi-Fi hardware.,0.645117141
Others,System becoming unresponsive when attempting to open a file or program.,0.909424647
Others,Bluetooth driver issues causing problems with the mouse.,0.150402914
Others,The Apple Pencil is not working as it should.,0.490912595
Others,Error message when trying to join a Google Classroom class.,0.901384561
Non MC,"My power went out, and I can't get ready for work, so I won't be coming in.",0.144406768
Others,"Hi, I'll be seeing a doctor today.",0.368560251
Others,"Hey, I'm feeling unwell today.",0.910254044
MC,I'm planning to take a 3-day medical leave starting today.,0.009429992
Others,"Hello, I need to skip school due to illness.",0.83560879
Others,My iPad cannot connect to the internet,0.945390783
Others,My Apple Pencil is not performing well.,0.515895387
Others,My keyboard isn't working,0.699239205
MC,I have to get a 26-day MC because of a severe respiratory condition.,0.263659952
Others,Cursor disappearing from the screen while using the touchpad.,0.120601207
Others,Cursor frozen and unmovable on the screen.,0.064303693
Others,Dead pixels on the screen.,0.278215521
Non MC,"I lost my wallet, and I'm dealing with the necessary authorities to report it, so I won't be in today.",0.347708496
Non MC,"I have a family member visiting unexpectedly, and I need to spend time with them, so I won't be at work.",0.660012821
Others,The mouse is detected but not functioning correctly.,0.514468963
Others,Bluetooth interference from other nearby devices.,0.312528783
Others,The touchpad not working after spilling liquid on the laptop.,0.710299616
Others,Error messages when attempting to collaborate or share documents in Schoolwork.,0.270469237
Non MC,"I received a call from the school, and my child is not feeling well, so I need to pick them up, and I won't be at work.",0.3844536
Others,"Hello, I have to skip school today for a doctor's visit.",0.849940794
Others,"Hi, I have a medical issue to address, so I can't attend school.",0.960716735
Others,Audio is muffled or lacks clarity from the laptop speakers.,0.949215911
Others,Touchpad gestures not customizable in the touchpad settings.,0.937981637
Others,Mouse pointer jumping to corners of the screen unintentionally.,0.687970926
Others,My iPad screen is cracked,0.071988943
Others,IP address conflict on the Wi-Fi network specific to the iPad.,0.406156513
Others,The iPad not recognizing the Wi-Fi hardware.,0.828002019
Others,"Hi, I won't be able to make it to school due to a medical appointment.",0.854792828
Others,Mouse occasionally freezing during use.,0.890257295
Others,Router or modem issues affecting only the iPad's connectivity.,0.983484986
Others,"Hi there, I have a doctor's appointment during school time.",0.033553067
Others,Unresponsive touch screen.,0.12290709
Non MC,"I was rear-ended in a car accident on my way to work, and I need to deal with the aftermath, so I won't be in today.",0.899719039
Others,"Hi there, I'm feeling too sick to attend school, and I have a doctor's appointment.",0.841335925
Others,Laptop screen freezing in safe mode.,0.531593755
Others,Wi-Fi network password not accepted on the laptop.,0.044009742
MC,I have to get a 36-day MC because of a severe reproductive system disorder.,0.434823412
Non MC,"My significant other is stranded at the airport, and I need to pick them up, so I can't come to work.",0.058340941
Others,Bluetooth mouse not working after a computer restart.,0.013979516
Others,Laptop speakers producing audio that's too soft even at maximum volume.,0.474850794
Others,Screen brightness fluctuating on its own.,0.851202998
MC,"I need a 28-day MC as I recover from hip replacement surgery, with my mobility temporarily compromised during the healing process.",0.377952935
Others,My mouse cannot connect to my computer,0.192384198
Others,My laptop cannot connect to the internet,0.446178987
Others,Error messages during OneDrive sync.,0.292213336
Others,Laptop screen frozen in a blue screen (BSOD) error state.,0.032473502
Others,Difficulty signing in to Google Classroom due to authentication problems.,0.992930133
Others,Cursor stuck in a spinning/loading state.,0.86490655
Others,Freeze occurring after plugging in or removing the power adapter.,0.787810698
Others,"Hi, I won't be able to make it to class today due to a doctor's visit.",0.204427334
MC,I’m obliged to obtain a 3-day MC due to a relentless bout of rhinitis accompanied by a cacophony of sneezes and a river of nasal discharge.,0.746940002
Others,I've got issues with my Apple Pencil's performance.,0.272110095
Others,"Hello, I'll be at the doctor's office while school is in session.",0.798162204
MC,I need a 32-day MC because of a severe endocrine disorder.,0.573692584
Others,"Keyboard input working, but the screen remains frozen.",0.487944476
MC,I'd like to secure a medical certificate for the next three days.,0.297114868
Others,Freeze when accessing certain folders or files.,0.275778609
Others,White lines running across the screen.,0.039622949
Non MC,"There's been a power outage in my neighborhood, and I can't work from home without electricity.",0.243630621
Others,Distorted audio playback on the laptop speakers.,0.595477714
MC,I wish to take a 3-day medical leave starting today.,0.042875869
Others,The Apple Pencil isn't working right.,0.03553181
Others,My iPad does not have Google Classroom,0.949141752
Others,Screen not turning on after pressing the power button.,0.955492802
MC,"I need a 25-day MC due to recuperation from hernia repair surgery, with my abdominal wall requiring time to heal and strengthen.",0.297272817
Non MC,"My elderly neighbor needs urgent assistance, and I'm the only one available to help them right now.",0.585160795
MC,I need a 50-day MC because of recovery from a major orthopedic surgery.,0.509337726
Others,High-pitched or squealing noises from the laptop speakers.,0.87965135
MC,"I need to acquire a 4-day MC as a result of a sudden onset of lumbago, rendering me practically immobile and in agonizing pain.",0.242103863
Others,Issues with Google Classroom app updates not installing correctly.,0.88836688
Others,My mouse is having bluetooth issues,0.032022728
Others,Inconsistent performance of the Bluetooth mouse.,0.126050519
MC,I need a 37-day MC due to a chronic mental health condition.,0.576970423
Others,Mouse scroll wheel not functioning properly over Bluetooth.,0.570253779
Others,The screen flickering only in certain apps or situations.,0.641074189
MC,I'd like to claim a 3-day medical certificate starting today.,0.159860519
Others,Cursor not moving when using the mousepad.,0.780829941
Others,The iPad screen is frozen during a software reset or restore.,0.451116747
MC,"I’m necessitated to procure a 20-day MC as I battle pneumonia, with my lungs protesting each breath with raspy and labored efforts.",0.752373579
Others,Freeze occurring during startup or before the operating system loads.,0.752924974
Others,"Hi, I need to take a day off from school because of a doctor's appointment.",0.674956934
Others,iPad screen is frozen after installing a new app.,0.290749424
Others,"Error message on the laptop, such as ""No Internet Access.""",0.669979525
Others,"Hi there, I have a doctor's appointment that conflicts with school.",0.893955028
Others,iPad screen is frozen when rotating the device.,0.672489825
